,class_name,superclass_level0
0,Drum corps,"Socializing"
1,Playing kickball,"Sports"
2,Hand car wash,Housework
3,Shuffleboard,"Socializing"
4,Croquet,"Sports"
5,Fixing bicycle,Housework
6,Starting a campfire,"Sports"
7,Kayaking,"Sports"
8,Hand washing clothes,Housework
9,Doing crunches,"Sports"
10,Dodgeball,"Sports"
11,Polishing shoes,Housework
12,Hula hoop,"Socializing"
13,Horseback riding,"Sports"
14,Fun sliding down,"Socializing"
15,Swimming,"Sports"
16,Drinking coffee,Eating
17,Sailing,"Sports"
18,Shoveling snow,Housework
19,Pole vault,"Sports"
20,Rock-paper-scissors,"Socializing"
21,Breakdancing,"Socializing"
22,Putting in contact lenses,Personal Care
23,Canoeing,"Sports"
24,Tumbling,"Sports"
25,Welding,Housework
26,Playing ice hockey,"Sports"
27,Smoking a cigarette,"Socializing"
28,Playing bagpipes,"Socializing"
29,Kneeling,"Sports"
30,Doing fencing,"Sports"
31,Playing accordion,"Socializing"
32,Playing polo,"Sports"
33,Playing flauta,"Socializing"
34,Archery,"Sports"
35,Assembling bicycle,Housework
36,Spread mulch,Housework
37,Washing hands,Personal Care
38,Playing beach volleyball,"Sports"
39,Snowboarding,"Sports"
40,Making an omelette,Eating
41,Getting a tattoo,Personal Care
42,Making a lemonade,Eating
43,Playing squash,"Sports"
44,Playing blackjack,"Socializing"
45,Playing guitarra,"Socializing"
46,Bungee jumping,"Sports"
47,Calf roping,"Sports"
48,Running a marathon,"Sports"
49,Playing racquetball,"Sports"
50,Paintball,"Sports"
51,Playing badminton,"Sports"
52,Wakeboarding,"Sports"
53,Long jump,"Sports"
54,Using parallel bars,"Sports"
55,Mooping floor,Housework
56,Bullfighting,"Sports"
57,Decorating the Christmas tree,Housework
58,Carving jack-o-lanterns,Housework
59,Cricket,"Sports"
60,Playing drums,"Socializing"
61,Skiing,"Sports"
62,Cutting the grass,Housework
63,Chopping wood,Housework
64,Wrapping presents,Housework
65,Beach soccer,"Sports"
66,Doing step aerobics,"Sports"
67,Blow-drying hair,Personal Care
68,Snatch,"Sports"
69,Baking cookies,Eating
70,Playing congas,"Socializing"
71,High jump,"Sports"
72,Zumba,"Sports"
73,Beer pong,"Socializing"
74,Spinning,"Sports"
75,Arm wrestling,"Sports"
76,Rafting,"Sports"
77,Playing harmonica,"Socializing"
78,Cleaning shoes,Housework
79,Preparing pasta,Eating
80,Painting,Housework
81,Javelin throw,"Sports"
82,Playing saxophone,"Socializing"
83,Bathing dog,Housework
84,Walking the dog,Housework
85,Hammer throw,"Sports"
86,Playing field hockey,"Sports"
87,Playing rubik cube,"Socializing"
88,Painting fence,Housework
89,BMX,"Sports"
90,Doing karate,"Sports"
91,Mixing drinks,Eating
92,Windsurfing,"Sports"
93,Surfing,"Sports"
94,Vacuuming floor,Housework
95,Knitting,Housework
96,Rope skipping,"Sports"
97,Plastering,Housework
98,Painting furniture,Housework
99,Powerbocking,"Sports"
100,Braiding hair,Personal Care
101,Using the monkey bar,"Socializing"
102,Cleaning sink,Housework
103,Clean and jerk,"Sports"
104,Ballet,"Socializing"
105,Rock climbing,"Sports"
106,Sumo,"Sports"
107,Playing violin,"Socializing"
108,Trimming branches or hedges,Housework
109,Playing pool,"Socializing"
110,Mowing the lawn,Housework
111,Table soccer,"Socializing"
112,Shot put,"Sports"
113,Grooming horse,Housework
114,Doing kickboxing,"Sports"
115,Preparing salad,Eating
116,Futsal,"Sports"
117,Elliptical trainer,"Sports"
118,Putting on shoes,Personal Care
119,Rollerblading,"Sports"
120,Belly dance,"Socializing"
121,Laying tile,Housework
122,Using the rowing machine,"Sports"
123,Slacklining,"Socializing"
124,Disc dog,Housework
125,Putting on makeup,Personal Care
126,Grooming dog,Housework
127,Volleyball,"Sports"
128,Swinging at the playground,"Socializing"
129,Sharpening knives,Housework
130,Tai chi,"Sports"
131,Camel ride,"Sports"
132,Making a cake,Eating
133,Hanging wallpaper,Housework
134,Hurling,"Sports"
135,Waxing skis,Housework
136,Springboard diving,"Sports"
137,Polishing forniture,Housework
138,Making a sandwich,Eating
139,Brushing teeth,Personal Care
140,Smoking hookah,"Socializing"
141,Tug of war,"Socializing"
142,Using uneven bars,"Sports"
143,Raking leaves,Housework
144,Plataform diving,"Sports"
145,Fixing the roof,Housework
146,Throwing darts,"Socializing"
147,Waterskiing,"Sports"
148,Capoeira,"Sports"
149,Using the pommel horse,"Sports"
150,Hopscotch,"Socializing"
151,Hitting a pinata,"Socializing"
152,Using the balance beam,"Sports"
153,Discus throw,"Sports"
154,Shaving,Personal Care
155,Riding bumper cars,"Socializing"
156,Cheerleading,"Socializing"
157,Doing nails,Personal Care
158,Having an ice cream,Eating
159,Washing dishes,Eating
160,Kite flying,"Socializing"
161,Ironing clothes,Housework
162,Brushing hair,Personal Care
163,Baton twirling,"Sports"
164,Playing lacrosse,"Sports"
165,Skateboarding,"Sports"
166,Ping-pong,"Sports"
167,Getting a haircut,Personal Care
168,Snow tubing,"Sports"
169,Building sandcastles,"Socializing"
170,Playing piano,"Socializing"
171,Playing water polo,"Sports"
172,Triple jump,"Sports"
173,Longboarding,"Sports"
174,Cleaning windows,Housework
175,Ice fishing,"Sports"
176,Getting a piercing,Personal Care
177,Tango,"Socializing"
178,Scuba diving,"Sports"
179,Doing motocross,"Sports"
