onset	duration	trial_type	value	sample
5.2025	0.0	begin	1	6243
5.2025	0.0	begin	1	6243
10.236666666666666	0.0	video on	4	12284
10.236666666666666	0.0	video on	4	12284
12.236666666666666	0.0	video off	3	14684
12.236666666666666	0.0	video off	3	14684
12.681666666666667	0.0	resp	2	15218
12.681666666666667	0.0	resp	2	15218
13.236666666666666	0.0	video on	4	15884
13.236666666666666	0.0	video on	4	15884
15.236666666666666	0.0	video off	3	18284
15.236666666666666	0.0	video off	3	18284
15.5775	0.0	resp	2	18693
15.5775	0.0	resp	2	18693
16.236666666666668	0.0	video on	4	19484
16.236666666666668	0.0	video on	4	19484
18.236666666666668	0.0	video off	3	21884
18.236666666666668	0.0	video off	3	21884
18.545833333333334	0.0	resp	2	22255
18.545833333333334	0.0	resp	2	22255
19.236666666666668	0.0	video on	4	23084
19.236666666666668	0.0	video on	4	23084
21.236666666666668	0.0	video off	3	25484
21.236666666666668	0.0	video off	3	25484
21.641666666666666	0.0	resp	2	25970
21.641666666666666	0.0	resp	2	25970
22.236666666666668	0.0	video on	4	26684
22.236666666666668	0.0	video on	4	26684
24.236666666666668	0.0	video off	3	29084
24.236666666666668	0.0	video off	3	29084
24.5375	0.0	resp	2	29445
24.5375	0.0	resp	2	29445
28.235833333333332	0.0	video on	4	33883
28.235833333333332	0.0	video on	4	33883
30.2525	0.0	video off	3	36303
30.2525	0.0	video off	3	36303
30.809166666666666	0.0	resp	2	36971
30.809166666666666	0.0	resp	2	36971
31.235833333333332	0.0	video on	4	37483
31.235833333333332	0.0	video on	4	37483
33.25333333333333	0.0	video off	3	39904
33.25333333333333	0.0	video off	3	39904
33.53	0.0	resp	2	40236
33.53	0.0	resp	2	40236
34.23583333333333	0.0	video on	4	41083
34.23583333333333	0.0	video on	4	41083
36.285833333333336	0.0	video off	3	43543
36.285833333333336	0.0	video off	3	43543
36.553333333333335	0.0	resp	2	43864
36.553333333333335	0.0	resp	2	43864
37.23583333333333	0.0	video on	4	44683
37.23583333333333	0.0	video on	4	44683
39.23583333333333	0.0	video off	3	47083
39.23583333333333	0.0	video off	3	47083
39.553333333333335	0.0	resp	2	47464
39.553333333333335	0.0	resp	2	47464
40.23583333333333	0.0	video on	4	48283
40.23583333333333	0.0	video on	4	48283
42.23583333333333	0.0	video off	3	50683
42.23583333333333	0.0	video off	3	50683
42.52166666666667	0.0	resp	2	51026
42.52166666666667	0.0	resp	2	51026
46.23583333333333	0.0	video on	4	55483
46.23583333333333	0.0	video on	4	55483
48.2525	0.0	video off	3	57903
48.2525	0.0	video off	3	57903
48.545833333333334	0.0	resp	2	58255
48.545833333333334	0.0	resp	2	58255
49.23583333333333	0.0	video on	4	59083
49.23583333333333	0.0	video on	4	59083
51.2525	0.0	video off	3	61503
51.2525	0.0	video off	3	61503
51.57	0.0	resp	2	61884
51.57	0.0	resp	2	61884
52.23583333333333	0.0	video on	4	62683
52.23583333333333	0.0	video on	4	62683
54.251666666666665	0.0	video off	3	65102
54.251666666666665	0.0	video off	3	65102
54.57	0.0	resp	2	65484
54.57	0.0	resp	2	65484
55.235	0.0	video on	4	66282
55.235	0.0	video on	4	66282
57.235	0.0	video off	3	68682
57.235	0.0	video off	3	68682
57.505833333333335	0.0	resp	2	69007
57.505833333333335	0.0	resp	2	69007
58.235	0.0	video on	4	69882
58.235	0.0	video on	4	69882
60.2525	0.0	video off	3	72303
60.2525	0.0	video off	3	72303
60.55416666666667	0.0	resp	2	72665
60.55416666666667	0.0	resp	2	72665
64.235	0.0	video on	4	77082
64.235	0.0	video on	4	77082
